Apr. 22, 2026   10:23:46
A.C. Impedance
File: d:\lihai\20260422eis\5.csv
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.01
Imp SF
Amplitude (V) = 5e-4
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg
1.001e+3, 6.405e+0, -1.069e+0, 6.494e+0, -9.5
8.252e+2, 6.557e+0, -9.617e-1, 6.627e+0, -8.3
6.836e+2, 6.694e+0, -8.647e-1, 6.750e+0, -7.4
5.615e+2, 6.816e+0, -7.756e-1, 6.860e+0, -6.5
4.639e+2, 6.924e+0, -6.935e-1, 6.958e+0, -5.7
3.809e+2, 7.013e+0, -6.156e-1, 7.040e+0, -5.0
3.174e+2, 7.087e+0, -5.422e-1, 7.108e+0, -4.4
2.588e+2, 7.149e+0, -4.727e-1, 7.165e+0, -3.8
2.148e+2, 7.197e+0, -4.100e-1, 7.208e+0, -3.3
1.758e+2, 7.232e+0, -3.591e-1, 7.241e+0, -2.8
1.465e+2, 7.257e+0, -3.238e-1, 7.264e+0, -2.6
1.221e+2, 7.272e+0, -2.988e-1, 7.278e+0, -2.4
9.766e+1, 7.291e+0, -2.672e-1, 7.296e+0, -2.1
8.254e+1, 7.312e+0, -2.461e-1, 7.316e+0, -1.9
6.813e+1, 7.321e+0, -2.643e-1, 7.326e+0, -2.1
5.623e+1, 7.319e+0, -3.169e-1, 7.326e+0, -2.5
4.642e+1, 7.315e+0, -4.020e-1, 7.326e+0, -3.1
3.831e+1, 7.313e+0, -5.163e-1, 7.331e+0, -4.0
3.162e+1, 7.318e+0, -6.609e-1, 7.347e+0, -5.2
2.610e+1, 7.331e+0, -8.387e-1, 7.379e+0, -6.5
2.154e+1, 7.353e+0, -1.055e+0, 7.429e+0, -8.2
1.778e+1, 7.390e+0, -1.315e+0, 7.506e+0, -10.1
1.468e+1, 7.443e+0, -1.619e+0, 7.617e+0, -12.3
1.212e+1, 7.530e+0, -1.991e+0, 7.788e+0, -14.8
1.000e+1, 7.681e+0, -2.432e+0, 8.057e+0, -17.6
8.254e+0, 7.871e+0, -2.949e+0, 8.405e+0, -20.5
6.813e+0, 8.088e+0, -3.607e+0, 8.856e+0, -24.0
5.623e+0, 8.328e+0, -4.426e+0, 9.431e+0, -28.0
4.642e+0, 8.646e+0, -5.426e+0, 1.021e+1, -32.1
3.831e+0, 9.116e+0, -6.691e+0, 1.131e+1, -36.3
3.162e+0, 9.560e+0, -8.190e+0, 1.259e+1, -40.6
2.610e+0, 9.993e+0, -1.014e+1, 1.424e+1, -45.4
2.154e+0, 1.040e+1, -1.258e+1, 1.632e+1, -50.4
1.778e+0, 1.082e+1, -1.561e+1, 1.900e+1, -55.3
1.468e+0, 7.727e+0, -1.310e+1, 1.521e+1, -59.5
1.212e+0, -1.414e+0, -7.946e+0, 8.071e+0, -100.1
1.000e+0, -1.184e+1, -1.149e+1, 1.650e+1, -135.9
8.254e-1, -1.673e+1, -1.192e+1, 2.054e+1, -144.5
6.813e-1, -1.907e+1, -1.491e+1, 2.421e+1, -142.0
5.623e-1, -2.210e+1, -2.056e+1, 3.019e+1, -137.1
4.642e-1, -2.351e+1, -1.820e+1, 2.973e+1, -142.2
3.831e-1, -2.381e+1, -1.437e+1, 2.781e+1, -148.9
3.162e-1, -2.447e+1, -9.882e+0, 2.639e+1, -158.0
2.610e-1, -2.441e+1, -7.511e+0, 2.554e+1, -162.9
2.154e-1, -2.168e+1, -5.464e+0, 2.236e+1, -165.9
1.778e-1, -1.838e+1, -3.986e+0, 1.881e+1, -167.8
1.468e-1, -1.604e+1, -2.717e+0, 1.627e+1, -170.4
1.212e-1, -1.417e+1, -1.639e+0, 1.427e+1, -173.4
1.000e-1, -1.248e+1, -1.235e+0, 1.254e+1, -174.3
8.254e-2, -1.154e+1, -8.630e-1, 1.157e+1, -175.7
6.813e-2, -1.089e+1, -4.510e-1, 1.090e+1, -177.6
5.623e-2, -1.064e+1, -7.418e-2, 1.064e+1, -179.6
4.642e-2, -1.035e+1, 4.790e-2, 1.035e+1, 179.7
3.831e-2, -9.999e+0, 4.236e-2, 9.999e+0, 179.8
3.162e-2, -9.741e+0, 8.568e-2, 9.741e+0, 179.5
2.610e-2, -9.650e+0, 8.602e-2, 9.650e+0, 179.5
2.154e-2, -1.001e+1, 1.294e-1, 1.001e+1, 179.3
1.778e-2, -1.061e+1, 9.605e-2, 1.061e+1, 179.5
1.468e-2, -1.083e+1, 1.268e-1, 1.083e+1, 179.3
1.212e-2, -1.081e+1, 2.192e-1, 1.081e+1, 178.8
1.000e-2, -1.100e+1, 2.716e-1, 1.100e+1, 178.6
